time	V(gate)	V(n002)
0.000000000000000e+000	-2.043095e-017	0.000000e+000
9.999999925207742e-012	1.631120e-003	1.000000e-002
2.999999977562323e-011	4.907530e-003	3.000000e-002
6.999999947634832e-011	1.152950e-002	7.000000e-002
1.499999988777985e-010	2.499909e-002	1.500000e-001
2.499999988778060e-010	4.221079e-002	2.500000e-001
3.499999988778135e-010	5.986550e-002	3.500000e-001
4.499999988778210e-010	7.798406e-002	4.500000e-001
5.499999988778285e-010	9.656384e-002	5.500000e-001
6.499999988778361e-010	1.156022e-001	6.500000e-001
7.499999988778436e-010	1.350965e-001	7.500000e-001
8.499999988778511e-010	1.550443e-001	8.500000e-001
9.499999988778586e-010	1.754428e-001	9.500000e-001
1.049999998877866e-009	1.962895e-001	1.050000e+000
1.149999998877874e-009	2.175819e-001	1.150000e+000
1.249999998877881e-009	2.393174e-001	1.250000e+000
1.349999998877889e-009	2.614936e-001	1.350000e+000
1.449999998877896e-009	2.841078e-001	1.450000e+000
1.549999998877904e-009	3.071577e-001	1.550000e+000
1.649999998877911e-009	3.306406e-001	1.650000e+000
1.749999998877919e-009	3.545542e-001	1.750000e+000
1.849999998877926e-009	3.788960e-001	1.850000e+000
2.049999998877941e-009	4.288543e-001	2.050000e+000
2.249999998877956e-009	4.804963e-001	2.250000e+000
2.449999998877971e-009	5.338027e-001	2.450000e+000
2.649999998877986e-009	5.887548e-001	2.650000e+000
2.949999998878009e-009	6.742272e-001	2.950000e+000
3.249999998878031e-009	7.632976e-001	3.250000e+000
3.549999998878054e-009	8.559048e-001	3.550000e+000
4.092857141735238e-009	1.033083e+000	4.092857e+000
4.635714284592422e-009	1.220481e+000	4.635714e+000
5.178571427449605e-009	1.418097e+000	5.178571e+000
5.721428570306789e-009	1.625933e+000	5.721428e+000
6.264285713163973e-009	1.843987e+000	6.264286e+000
6.807142856021156e-009	2.072261e+000	6.807143e+000
7.349999998878339e-009	2.310753e+000	7.350000e+000
7.729999999038588e-009	2.483122e+000	7.731659e+000
8.109999999198835e-009	2.659471e+000	8.112288e+000
8.489999999359083e-009	2.839801e+000	8.491889e+000
8.869999999519331e-009	3.024112e+000	8.870460e+000
9.249999999679580e-009	3.212403e+000	9.248002e+000
9.629999999839827e-009	3.404676e+000	9.624516e+000
1.001000000000007e-008	3.600930e+000	1.000000e+001
1.057285714285727e-008	3.799880e+000	1.000000e+001
1.113571428571446e-008	3.992971e+000	1.000000e+001
1.169857142857165e-008	4.180203e+000	1.000000e+001
1.226142857142884e-008	4.361575e+000	1.000000e+001
1.282428571428603e-008	4.537089e+000	1.000000e+001
1.338714285714322e-008	4.706743e+000	1.000000e+001
1.395000000000041e-008	4.870539e+000	1.000000e+001
1.425000000000044e-008	4.954847e+000	1.000000e+001
1.435000000000044e-008	4.982044e+000	1.000000e+001
1.445000000000045e-008	5.008549e+000	1.000000e+001
1.455000000000046e-008	5.034170e+000	1.000000e+001
1.465000000000047e-008	5.058701e+000	1.000000e+001
1.475000000000047e-008	5.081936e+000	1.000000e+001
1.485000000000048e-008	5.103697e+000	1.000000e+001
1.495000000000049e-008	5.123841e+000	1.000000e+001
1.505000000000050e-008	5.142279e+000	1.000000e+001
1.515000000000050e-008	5.158970e+000	1.000000e+001
1.525000000000051e-008	5.173929e+000	1.000000e+001
1.535000000000052e-008	5.187210e+000	1.000000e+001
1.545000000000053e-008	5.198902e+000	1.000000e+001
1.555000000000053e-008	5.209116e+000	1.000000e+001
1.565000000000054e-008	5.217977e+000	1.000000e+001
1.575000000000055e-008	5.225617e+000	1.000000e+001
1.585000000000056e-008	5.232165e+000	1.000000e+001
1.595000000000056e-008	5.237749e+000	1.000000e+001
1.605000000000057e-008	5.242483e+000	1.000000e+001
1.625000000000059e-008	5.249825e+000	1.000000e+001
1.637857142857202e-008	5.253073e+000	1.000000e+001
1.650714285714346e-008	5.255819e+000	1.000000e+001
1.663571428571490e-008	5.258063e+000	1.000000e+001
1.676428571428634e-008	5.259804e+000	1.000000e+001
1.689285714285778e-008	5.261042e+000	1.000000e+001
1.702142857142922e-008	5.261778e+000	1.000000e+001
1.715000000000065e-008	5.262012e+000	1.000000e+001
1.765000000000069e-008	5.260278e+000	1.000000e+001
1.815000000000073e-008	5.257267e+000	1.000000e+001
1.865000000000077e-008	5.252978e+000	1.000000e+001
1.915000000000080e-008	5.247411e+000	1.000000e+001
1.965000000000084e-008	5.240566e+000	1.000000e+001
2.015000000000088e-008	5.232442e+000	1.000000e+001
2.065000000000092e-008	5.223041e+000	1.000000e+001
2.096428571428666e-008	5.218090e+000	1.000000e+001
2.127857142857239e-008	5.213628e+000	1.000000e+001
2.159285714285813e-008	5.209657e+000	1.000000e+001
2.190714285714387e-008	5.206174e+000	1.000000e+001
2.222142857142961e-008	5.203182e+000	1.000000e+001
2.253571428571534e-008	5.200679e+000	1.000000e+001
2.285000000000108e-008	5.198667e+000	1.000000e+001
2.342142857142970e-008	5.196414e+000	1.000000e+001
2.399285714285831e-008	5.194597e+000	1.000000e+001
2.456428571428693e-008	5.193214e+000	1.000000e+001
2.513571428571554e-008	5.192266e+000	1.000000e+001
2.570714285714415e-008	5.191752e+000	1.000000e+001
2.627857142857277e-008	5.191673e+000	1.000000e+001
2.685000000000138e-008	5.192029e+000	1.000000e+001
2.829285714285863e-008	5.192649e+000	1.000000e+001
2.973571428571589e-008	5.193603e+000	1.000000e+001
3.117857142857314e-008	5.194891e+000	1.000000e+001
3.262142857143039e-008	5.196514e+000	1.000000e+001
3.406428571428764e-008	5.198471e+000	1.000000e+001
3.550714285714489e-008	5.200762e+000	1.000000e+001
3.695000000000214e-008	5.203388e+000	1.000000e+001
3.716428571428787e-008	5.203745e+000	1.000000e+001
3.737857142857360e-008	5.204188e+000	1.000000e+001
3.759285714285934e-008	5.204716e+000	1.000000e+001
3.780714285714506e-008	5.205331e+000	1.000000e+001
3.802142857143079e-008	5.206030e+000	1.000000e+001
3.823571428571652e-008	5.206815e+000	1.000000e+001
3.845000000000225e-008	5.207686e+000	1.000000e+001
3.855000000000226e-008	5.208953e+000	1.000000e+001
3.865000000000227e-008	5.210894e+000	1.000000e+001
3.875000000000228e-008	5.213607e+000	1.000000e+001
3.885000000000228e-008	5.217142e+000	1.000000e+001
3.895000000000229e-008	5.221509e+000	1.000000e+001
3.905000000000230e-008	5.226687e+000	1.000000e+001
3.915000000000231e-008	5.232632e+000	1.000000e+001
3.925000000000231e-008	5.239284e+000	1.000000e+001
3.935000000000232e-008	5.246574e+000	1.000000e+001
3.945000000000233e-008	5.254429e+000	1.000000e+001
3.955000000000234e-008	5.262775e+000	1.000000e+001
3.965000000000234e-008	5.271545e+000	1.000000e+001
3.975000000000235e-008	5.280672e+000	1.000000e+001
3.985000000000236e-008	5.290100e+000	1.000000e+001
3.995000000000237e-008	5.299777e+000	1.000000e+001
4.005000000000237e-008	5.309658e+000	1.000000e+001
4.015000000000238e-008	5.319708e+000	1.000000e+001
4.035000000000240e-008	5.340190e+000	1.000000e+001
4.055000000000241e-008	5.361033e+000	1.000000e+001
4.075000000000243e-008	5.382108e+000	1.000000e+001
4.105000000000245e-008	5.413979e+000	1.000000e+001
4.135000000000247e-008	5.446006e+000	1.000000e+001
4.165000000000249e-008	5.478082e+000	1.000000e+001
4.189285714285966e-008	5.504070e+000	1.000000e+001
4.213571428571682e-008	5.529983e+000	1.000000e+001
4.237857142857398e-008	5.555821e+000	1.000000e+001
