time	V(drain)	V(gate)	Id(M1)
0.000000000000000e+000	1.500000e+001	-2.043095e-017	1.650006e-011
9.999999925207742e-012	1.500000e+001	1.631120e-003	-1.912639e-008
2.999999977562323e-011	1.500001e+001	4.907530e-003	-9.870013e-008
6.999999947634832e-011	1.500007e+001	1.152950e-002	-4.589068e-007
1.499999988777985e-010	1.500028e+001	2.499909e-002	-1.834738e-006
2.499999988778060e-010	1.500070e+001	4.221079e-002	-4.641591e-006
3.499999988778135e-010	1.500131e+001	5.986550e-002	-8.731766e-006
4.499999988778210e-010	1.500212e+001	7.798406e-002	-1.416341e-005
5.499999988778285e-010	1.500314e+001	9.656384e-002	-2.092649e-005
6.499999988778361e-010	1.500435e+001	1.156022e-001	-2.901105e-005
7.499999988778436e-010	1.500576e+001	1.350965e-001	-3.840725e-005
8.499999988778511e-010	1.500737e+001	1.550443e-001	-4.910533e-005
9.499999988778586e-010	1.500916e+001	1.754428e-001	-6.109564e-005
1.049999998877866e-009	1.501116e+001	1.962895e-001	-7.436862e-005
1.149999998877874e-009	1.501334e+001	2.175819e-001	-8.891480e-005
1.249999998877881e-009	1.501571e+001	2.393174e-001	-1.047248e-004
1.349999998877889e-009	1.501827e+001	2.614936e-001	-1.217894e-004
1.449999998877896e-009	1.502102e+001	2.841078e-001	-1.400993e-004
1.549999998877904e-009	1.502395e+001	3.071577e-001	-1.596455e-004
1.649999998877911e-009	1.502706e+001	3.306406e-001	-1.804189e-004
1.749999998877919e-009	1.503036e+001	3.545542e-001	-2.024107e-004
1.849999998877926e-009	1.503384e+001	3.788960e-001	-2.256128e-004
2.049999998877941e-009	1.504134e+001	4.288543e-001	-2.756114e-004
2.249999998877956e-009	1.504955e+001	4.804963e-001	-3.303413e-004
2.449999998877971e-009	1.505846e+001	5.338027e-001	-3.897375e-004
2.649999998877986e-009	1.506806e+001	5.887548e-001	-4.537337e-004
2.949999998878009e-009	1.508373e+001	6.742272e-001	-5.582109e-004
3.249999998878031e-009	1.510090e+001	7.632976e-001	-6.726772e-004
3.549999998878054e-009	1.511954e+001	8.559048e-001	-7.969245e-004
4.092857141735238e-009	1.515727e+001	1.033083e+000	-1.048491e-003
4.635714284592422e-009	1.519915e+001	1.220481e+000	-1.327698e-003
5.178571427449605e-009	1.524518e+001	1.418097e+000	-1.634547e-003
5.721428570306789e-009	1.529535e+001	1.625933e+000	-1.969037e-003
6.264285713163973e-009	1.534967e+001	1.843987e+000	-2.331168e-003
6.807142856021156e-009	1.540814e+001	2.072261e+000	-2.720940e-003
