time	V(gate)	V(n002)
0.000000000000000e+000	3.917481e-003	0.000000e+000
1.953124890551744e-013	3.917631e-003	1.953125e-004
3.906249781103488e-013	3.917820e-003	3.906250e-004
7.812499562206976e-013	3.918342e-003	7.812500e-004
1.562499912441395e-012	3.919916e-003	1.562500e-003
3.124999824882790e-012	3.924860e-003	3.125000e-003
6.249999649765581e-012	3.940081e-003	6.250000e-003
1.249999929953116e-011	3.983314e-003	1.250000e-002
2.499999859906232e-011	4.091427e-003	2.500000e-002
4.806592027081202e-011	4.311384e-003	4.806592e-002
7.709239004593724e-011	4.593287e-003	7.709239e-002
1.351453295961877e-010	5.150933e-003	1.351453e-001
2.307679336150730e-010	6.054727e-003	2.307679e-001
3.664128118500554e-010	7.318140e-003	3.664128e-001
5.759580110975340e-010	9.259446e-003	5.759580e-001
9.018409208867484e-010	1.233181e-002	9.018409e-001
1.358393608800673e-009	1.690531e-002	1.358394e+000
1.882874513528395e-009	2.443181e-002	1.882874e+000
2.282055371457556e-009	3.753381e-002	2.282055e+000
2.584763719769927e-009	5.792803e-002	2.584764e+000
2.940777128160991e-009	9.386411e-002	2.940777e+000
3.306808047613830e-009	1.424718e-001	3.306808e+000
3.903416497858221e-009	2.447846e-001	3.903416e+000
4.595761405945620e-009	3.999775e-001	4.595761e+000
5.609561205687833e-009	7.006928e-001	5.609561e+000
6.851072846190291e-009	1.180959e+000	6.851073e+000
8.196467983085567e-009	1.853105e+000	8.196468e+000
1.000000000000000e-008	2.916403e+000	1.000000e+001
1.018035320169144e-008	3.039134e+000	1.000000e+001
1.054105960507433e-008	3.286256e+000	1.000000e+001
1.126247241184010e-008	3.784672e+000	1.000000e+001
1.223376581134073e-008	4.456831e+000	1.000000e+001
1.332634326295495e-008	5.202365e+000	1.000000e+001
1.431655853673311e-008	5.827569e+000	1.000000e+001
1.503289165841226e-008	6.154264e+000	1.000000e+001
1.595648741084637e-008	6.361088e+000	1.000000e+001
1.661759562629849e-008	6.407735e+000	1.000000e+001
1.723189168686777e-008	6.412575e+000	1.000000e+001
1.791154495248102e-008	6.413635e+000	1.000000e+001
1.864789863213581e-008	6.424101e+000	1.000000e+001
1.945133977074731e-008	6.449206e+000	1.000000e+001
2.029641252273379e-008	6.482499e+000	1.000000e+001
2.146742869180397e-008	6.529229e+000	1.000000e+001
2.316446521894018e-008	6.593454e+000	1.000000e+001
2.496457287255631e-008	6.665887e+000	1.000000e+001
2.563524594687645e-008	6.714013e+000	1.000000e+001
2.599303384282066e-008	6.766754e+000	1.000000e+001
2.622991875476115e-008	6.820438e+000	1.000000e+001
2.640174081857057e-008	6.866764e+000	1.000000e+001
2.660826577444277e-008	6.925741e+000	1.000000e+001
2.683269355141868e-008	6.991342e+000	1.000000e+001
2.708956162939257e-008	7.067150e+000	1.000000e+001
2.744995373417361e-008	7.173527e+000	1.000000e+001
2.780366742750825e-008	7.277197e+000	1.000000e+001
2.828565407616013e-008	7.416638e+000	1.000000e+001
2.882192950105305e-008	7.568925e+000	1.000000e+001
2.945701996872049e-008	7.744849e+000	1.000000e+001
3.020446357320978e-008	7.945684e+000	1.000000e+001
3.103275074522209e-008	8.160110e+000	1.000000e+001
3.202745145408832e-008	8.406624e+000	1.000000e+001
3.308727807841306e-008	8.656153e+000	1.000000e+001
3.435535018465682e-008	8.936872e+000	1.000000e+001
3.588761570392328e-008	9.253125e+000	1.000000e+001
3.737381782144466e-008	9.533895e+000	1.000000e+001
3.958802136805391e-008	9.910396e+000	1.000000e+001
4.162558411467460e-008	1.020944e+001	1.000000e+001
4.517335256390954e-008	1.063126e+001	1.000000e+001
4.857878091818932e-008	1.091161e+001	1.000000e+001
5.360579036694687e-008	1.109649e+001	1.000000e+001
5.763270288199963e-008	1.106659e+001	1.000000e+001
5.937752120895228e-008	1.099100e+001	1.000000e+001
6.045488802138807e-008	1.092627e+001	1.000000e+001
6.108988702905069e-008	1.089444e+001	1.000000e+001
6.147147428283095e-008	1.088750e+001	1.000000e+001
6.177684141021361e-008	1.088866e+001	1.000000e+001
6.200541619886479e-008	1.088999e+001	1.000000e+001
6.219840472053610e-008	1.089086e+001	1.000000e+001
6.237196069849817e-008	1.089154e+001	1.000000e+001
6.254836196233557e-008	1.089216e+001	1.000000e+001
6.271981506181220e-008	1.089270e+001	1.000000e+001
6.290469266304518e-008	1.089322e+001	1.000000e+001
6.310373591703465e-008	1.089371e+001	1.000000e+001
6.332491776156477e-008	1.089418e+001	1.000000e+001
6.357739908484033e-008	1.089451e+001	1.000000e+001
6.386733042075674e-008	1.089453e+001	1.000000e+001
6.420511635686893e-008	1.089426e+001	1.000000e+001
6.460468846064935e-008	1.089396e+001	1.000000e+001
6.509003674532489e-008	1.089363e+001	1.000000e+001
6.566387469913580e-008	1.089325e+001	1.000000e+001
6.636227478318485e-008	1.089278e+001	1.000000e+001
6.720721166958575e-008	1.089220e+001	1.000000e+001
6.823339004920802e-008	1.089148e+001	1.000000e+001
6.953288524404778e-008	1.089056e+001	1.000000e+001
7.130069623961348e-008	1.088931e+001	1.000000e+001
7.384604489463841e-008	1.088750e+001	1.000000e+001
7.785365606699893e-008	1.088468e+001	1.000000e+001
8.484397074012235e-008	1.087980e+001	1.000000e+001
9.868009532014007e-008	1.087028e+001	1.000000e+001
1.182113453201401e-007	1.085705e+001	1.000000e+001
1.377425953201401e-007	1.084402e+001	1.000000e+001
1.572738453201401e-007	1.083118e+001	1.000000e+001
1.768050953201401e-007	1.081855e+001	1.000000e+001
1.963363453201401e-007	1.080613e+001	1.000000e+001
2.158675953201401e-007	1.079396e+001	1.000000e+001
2.353988453201401e-007	1.078205e+001	1.000000e+001
2.549300953201401e-007	1.077043e+001	1.000000e+001
2.744613453201401e-007	1.075914e+001	1.000000e+001
