time	V(gate)	V(n002)
0.000000000000000e+000	3.917480e-003	0.000000e+000
1.953124890551744e-013	3.918302e-003	1.953125e-004
3.906249781103488e-013	3.919334e-003	3.906250e-004
7.812499562206976e-013	3.922193e-003	7.812500e-004
1.562499912441395e-012	3.930783e-003	1.562500e-003
3.124999824882790e-012	3.957655e-003	3.125000e-003
6.249999649765581e-012	4.039796e-003	6.250000e-003
1.249999929953116e-011	4.267422e-003	1.250000e-002
2.227075050845176e-011	4.700016e-003	2.227075e-002
3.278932788785757e-011	5.208104e-003	3.278933e-002
4.924992312588241e-011	6.011694e-003	4.924992e-002
7.690115451531354e-011	7.309712e-003	7.690115e-002
1.226448809295628e-010	9.316321e-003	1.226449e-001
1.803473586096741e-010	1.161560e-002	1.803474e-001
2.684096814688545e-010	1.472026e-002	2.684097e-001
3.824804157789236e-010	1.820577e-002	3.824804e-001
5.427149958220745e-010	2.242538e-002	5.427150e-001
7.364120560058071e-010	2.697933e-002	7.364120e-001
9.885037151420116e-010	3.626371e-002	9.885037e-001
1.298341275523180e-009	6.206687e-002	1.298341e+000
1.583558670145034e-009	1.048880e-001	1.583559e+000
1.841989322487826e-009	1.605274e-001	1.841989e+000
2.177622700956207e-009	2.544073e-001	2.177623e+000
2.631314413676643e-009	4.163695e-001	2.631315e+000
3.221645751786458e-009	6.858916e-001	3.221646e+000
4.015857353522927e-009	1.148870e+000	4.015857e+000
5.122161007736551e-009	1.957054e+000	5.122161e+000
6.581341134437380e-009	3.235327e+000	6.581341e+000
8.302172064943802e-009	4.920551e+000	8.302172e+000
1.000000000000000e-008	6.655268e+000	1.000000e+001
1.016978279350562e-008	6.795545e+000	1.000000e+001
1.050934838051686e-008	7.014500e+000	1.000000e+001
1.106974673853108e-008	7.236319e+000	1.000000e+001
1.156299430422204e-008	7.331638e+000	1.000000e+001
1.201326866914924e-008	7.367229e+000	1.000000e+001
1.250548948049395e-008	7.389090e+000	1.000000e+001
1.308442680265319e-008	7.419833e+000	1.000000e+001
1.364863564639324e-008	7.462451e+000	1.000000e+001
1.423751831265493e-008	7.512437e+000	1.000000e+001
1.502260754713755e-008	7.575224e+000	1.000000e+001
1.624091317002934e-008	7.662456e+000	1.000000e+001
1.774816508434864e-008	7.781794e+000	1.000000e+001
1.820204715017359e-008	7.851451e+000	1.000000e+001
1.838630292574563e-008	7.901231e+000	1.000000e+001
1.855465151106134e-008	7.957852e+000	1.000000e+001
1.871484656280114e-008	8.014448e+000	1.000000e+001
1.889503164222114e-008	8.079069e+000	1.000000e+001
1.913426059801568e-008	8.164635e+000	1.000000e+001
1.935751403735316e-008	8.243335e+000	1.000000e+001
1.966180120740078e-008	8.348116e+000	1.000000e+001
2.000276580408666e-008	8.461890e+000	1.000000e+001
2.041821716301844e-008	8.594994e+000	1.000000e+001
2.090352543020594e-008	8.743038e+000	1.000000e+001
2.144733790368577e-008	8.899420e+000	1.000000e+001
2.209528098080058e-008	9.073454e+000	1.000000e+001
2.278638710610706e-008	9.244880e+000	1.000000e+001
2.361060148012003e-008	9.431306e+000	1.000000e+001
2.449709249552102e-008	9.611546e+000	1.000000e+001
2.548467234814822e-008	9.788425e+000	1.000000e+001
2.658531285673358e-008	9.958199e+000	1.000000e+001
2.771240646858568e-008	1.010120e+001	1.000000e+001
2.921845483437218e-008	1.024842e+001	1.000000e+001
3.063729371173483e-008	1.033970e+001	1.000000e+001
3.252521109701964e-008	1.039534e+001	1.000000e+001
3.379016309062627e-008	1.038808e+001	1.000000e+001
3.505685796714491e-008	1.033139e+001	1.000000e+001
3.691633068021212e-008	1.018525e+001	1.000000e+001
3.840279386590740e-008	1.003484e+001	1.000000e+001
3.945094619754071e-008	9.921701e+000	1.000000e+001
3.989289369774207e-008	9.880714e+000	1.000000e+001
4.019374363275218e-008	9.867296e+000	1.000000e+001
4.037589922060407e-008	9.870008e+000	1.000000e+001
4.055143250606539e-008	9.876022e+000	1.000000e+001
4.068264440934579e-008	9.879381e+000	1.000000e+001
4.081878970180435e-008	9.881890e+000	1.000000e+001
4.094155886010037e-008	9.883530e+000	1.000000e+001
4.106537336401375e-008	9.884760e+000	1.000000e+001
4.119318494081030e-008	9.885662e+000	1.000000e+001
4.132606514209213e-008	9.886361e+000	1.000000e+001
4.147129787431755e-008	9.886881e+000	1.000000e+001
4.163149828659263e-008	9.887289e+000	1.000000e+001
