"Frequency / Hz","Vm1:Measured voltage"
0,4.6243310237022161e-10
50,312.07632465377202
100,3.5622315795021713e-10
150,0.26432707513661724
200,5.5979597724981001e-10
250,0.069112633578905194
300,7.1279000376850891e-10
350,0.015847481592143432
400,2.3126475056503214e-10
450,0.0063821370007433875
500,5.4789346327588675e-10
550,0.0032668790693247758
600,9.2727191119995863e-10
650,0.0019112315265389979
700,5.5722984667406382e-10
750,0.0012216269514684522
800,1.1806627443439122e-09
850,0.00083589161748033082
900,3.4895842378901759e-09
950,0.00060971244340032708
1000,1.4584785098335811e-08
1050,0.00037964540292750664
1100,1.3620605633670848e-09
1150,0.00031373076783676668
1200,1.7510218757439718e-09
1250,0.00024523166394534824
1300,7.1498496471098355e-10
1350,0.00019481555984479965
1400,6.0784864798936517e-10
1450,0.0001571634258505659
1500,6.8972317494286276e-10
1550,0.00012856480481074006
1600,3.5161429862592103e-10
1650,0.00010648417567889716
1700,3.7664019836371739e-10
1750,8.9176259526696305e-05
1800,4.0503335383102712e-10
1850,7.5420591149836784e-05
1900,2.3502686850957189e-10
1950,6.4352958201965686e-05
2000,2.8321477344633754e-10
2050,5.5348942382258857e-05
2100,2.8873957458435833e-10
2150,4.7948439083908164e-05
2200,1.8104109456221109e-10
2250,4.1810457180668114e-05
2300,2.2329191956494705e-10
2350,3.6677490722258057e-05
2400,2.2463800890170235e-10
2450,3.2351211590538658e-05
2500,1.4623587452123751e-10
2550,2.8679600067188309e-05
2600,1.9162985186438271e-10
2650,2.5543879380625629e-05
2700,1.8207290802518602e-10
2750,2.2849041019040162e-05
2800,1.2769203221310947e-10
2850,2.0520600844351862e-05
2900,1.6751442071296795e-10
2950,1.8498805105383408e-05
3000,1.5228148606514808e-10
3050,1.6734185602099197e-05
3100,1.1735942298103368e-10
3150,1.5187413662973203e-05
3200,1.4851249577219568e-10
3250,1.382629759655935e-05
3300,1.2997788775928134e-10
3350,1.2623253973770929e-05
3400,1.0471754128607593e-10
3450,1.1556256733822753e-05
3500,1.3472153610181811e-10
3550,1.060697106195403e-05
3600,1.1265436133580577e-10
3650,9.7591210874882732e-06
3700,9.8583296074353727e-11
3750,8.9997464169208606e-06
3800,1.1921073021689603e-10
3850,8.317942511671882e-06
3900,9.8331880440966906e-11
3950,7.7036057561428194e-06
4000,9.4154740312351001e-11
4050,7.1488113384328375e-06
4100,1.0964139962903857e-10
4150,6.6468268453274014e-06
4200,8.810929684856658e-11
4250,6.1911058690933955e-06
4300,8.8383853417229685e-11
4350,5.7766444219244907e-06
4400,1.0022549338567672e-10
4450,5.3991606366790145e-06
4500,7.9272246430754271e-11
4550,5.0542380959104576e-06
4600,8.4113236563399282e-11
4650,4.7386354500845029e-06
4700,9.0337642090683646e-11
4750,4.4495651631620642e-06
4800,7.2959756259166078e-11
